Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]","GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]","GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]","Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]","Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],People using at least basic sanitation services (% of population) [SH.STA.BASS.ZS],"Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]",Poverty gap at $2.15 a day (2017 PPP) (%) [SI.POV.GAPS],Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC],Access to electricity (% of population) [EG.ELC.ACCS.ZS],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],CPIA gender equality rating (1=low to 6=high) [IQ.CPA.GNDR.XQ],Prevalence of undernourishment (% of population) [SN.ITK.DEFC.ZS],"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]"
1967,YR1967,World,WLD,3468370526,..,..,12.687248669949,33.124993077202,4.87230896384862,56.7947841392675,..,..,..,..,..,..,..,..,..,..
1968,YR1968,East Asia & Pacific,EAS,1224255729,..,..,9.19946463277179,34.6507658530445,5.73439854998482,56.785023319868,..,..,..,..,..,..,..,..,..,..
1968,YR1968,Europe & Central Asia,ECS,725451120,..,..,10.1327460903636,18.6971922805335,2.65333600321416,68.640342154879,..,..,..,..,..,..,..,..,..,..
1968,YR1968,Latin America & Caribbean,LCN,271885703,..,..,10.91933038793,37.7104779152329,5.38638665953508,58.649825998075,..,..,..,..,..,..,..,..,..,..
1968,YR1968,Middle East & North Africa,MEA,130258116,..,..,17.3212552378617,44.8771843265567,6.86592831088989,50.1352772268416,..,..,..,..,..,..,..,..,..,..
1968,YR1968,North America,NAC,221503000,..,..,9.57518356288101,17.6,2.45663418375538,70.1758488669922,..,..,..,..,..,..,..,..,..,..
1968,YR1968,South Asia,SAS,688013461,..,..,17.6035903240169,41.3109805729891,5.94769206220364,48.0773983551871,..,..,..,..,..,..,..,..,..,..
1968,YR1968,Sub-Saharan Africa,SSF,278796894,..,..,21.4176835099268,47.5792877237523,6.73808830259366,43.6707347759876,..,..,..,..,..,..,..,..,..,..
1968,YR1968,World,WLD,3540164023,..,..,12.4407115421868,33.2390798672098,4.98243361298718,57.2254211441914,..,..,..,..,..,..,..,..,..,..
1969,YR1969,East Asia & Pacific,EAS,1255933616,..,..,8.9585011239606,33.570318568211,5.52171864669374,57.4235784864814,..,..,..,..,..,..,..,..,..,..
1969,YR1969,Europe & Central Asia,ECS,731787358,..,..,10.3542539464276,18.3693955274119,2.6030019748799,68.4346373580773,..,..,..,..,..,..,..,..,..,..
1969,YR1969,Latin America & Caribbean,LCN,278797542,..,..,10.6973672722272,37.1523367942638,5.29339399389441,59.0012885241073,..,..,..,..,..,..,..,..,..,..
1969,YR1969,Middle East & North Africa,MEA,133970600,..,..,16.7874252156369,44.5229049025682,6.81831803773799,50.7467927020495,..,..,..,..,..,..,..,..,..,..
1969,YR1969,North America,NAC,223759000,..,..,9.29320265528263,17.871800362084,2.44439272979511,70.6941650129021,..,..,..,..,..,..,..,..,..,..
1969,YR1969,South Asia,SAS,704112818,..,..,17.3234793925481,40.9283272413768,5.88562900787269,48.4770832745087,..,..,..,..,..,..,..,..,..,..
1969,YR1969,Sub-Saharan Africa,SSF,286211901,..,..,21.2328660663016,47.5932744775523,6.75118904833926,43.9113071674781,..,..,..,..,..,..,..,..,..,..
1969,YR1969,World,WLD,3614572835,..,..,12.2875326903335,32.7475011963076,4.88624821241342,57.5355515965785,..,..,..,..,..,..,..,..,..,..
1970,YR1970,East Asia & Pacific,EAS,1288490485,..,..,8.65597768443111,33.0651317059876,5.4594525691403,58.0364115190344,..,..,..,..,..,..,..,..,..,..
1970,YR1970,Europe & Central Asia,ECS,737398504,..,..,10.218726725714,18.0602905881969,2.55546207477504,68.9107488295668,..,..,..,..,..,..,..,..,..,..
1970,YR1970,Latin America & Caribbean,LCN,285779012,..,..,10.6500826640611,36.6403252715916,5.19787247696249,59.0736005220953,..,..,..,..,..,..,..,..,..,..
